Place FIPS,"Unincorporated, Non-Place FIPS",Geography Name,County FIPS,County Name,Total Population,Population Density (Per Sq. Mile),Area (Land),SE:A01001. Age,Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,SE:A03001. Race,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,SE:B04001. Hispanic or Latino ,Not Hispanic or Latino:,Hispanic or Latino,SE:A12001. Educational Attainment for Population 25 Years and Over,Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,SE:B12001. Educational Attainment for Population 25 Years and Over (Collapsed Version),Population 25 Years and Over:.1,Less than High School.1,High School Diploma,Bachelor's Degree or Better,SE:A14001. Household Income (In 2020 Inflation Adjusted Dollars),Households:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or More",SE:A14006. Median Household Income (In 2020 Inflation Adjusted Dollars),Median Household Income (In 2020 Inflation Adjusted Dollars),SE:A14015. Median Household Income by Tenure (In 2020 Inflation Adjusted Dollars),Median Household Income Occupied Housing Units:,Owner Occupied,Renter Occupied,SE:A14024. Per Capita Income (In 2020 Inflation Adjusted Dollars),Per Capita Income (In 2020 Inflation Adjusted Dollars),SE:A10060. Tenure,Occupied Housing Units:,Owner Occupied.1,Renter Occupied.1,SE:B10060. White vs Non-White Homeowners,Owner Occupied Housing Units:,"White Alone, Not Hispanic or Latino Homeowners ",Non-White Homeowners,SE:A10035. House Value for All Owner-Occupied Housing Units,Owner-Occupied Housing Units:,"Less than $20,000","$20,000 to $49,999","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $299,999","$300,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 or More",SE:A13003A. Poverty Status in 2020 for Children Under 18,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Living in Poverty,At or Above Poverty Level,SE:A13003B. Poverty Status in 2020 for Population Age 18 to 64,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty.1,At or Above Poverty Level.1,SE:A13003C. Poverty Status in 2020 for Population Age 65 and Over,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty.2,At or Above Poverty Level.2,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk
3717180,,Dillsboro town,99,Jackson,219,458,0.48, ,6,10,5,15,16,43,31,17,14,24,34,4,,182,2,5,0,0,6,24, ,217,2, ,167,5,30,44,46,33,2,7, ,167,5,74,88, ,114,10,8,18,6,2,6,6,0,5,4,17,21,6,2,3,0, ,"$48,000 ", ,"$48,000 ","$73,750 ","$17,054 ", ,"$29,304 ", ,114,59,55, ,59,56,3, ,59,0,0,12,4,39,2,2,0,0, ,31,5,26, ,121,11,110, ,62,8,54,64.0,0.3467483,7.314959712,16.50154221,23.81650193
3717325,,Dobbins Heights town,153,Richmond,836,947,0.88, ,49,26,43,16,96,194,43,82,138,115,32,2,,165,631,27,0,0,2,11, ,802,34, ,606,122,251,185,48,0,0,0, ,606,122,436,48, ,425,124,7,85,38,19,33,5,7,0,11,59,27,8,0,2,0, ,"$19,583 ", ,"$19,583 ","$24,453 ","$15,324 ", ,"$15,064 ", ,425,226,199, ,226,32,194, ,226,8,115,85,5,10,3,0,0,0, ,134,65,69, ,553,176,377, ,149,16,133,52.0,0.8769,0.0,0.836163193,0.836163193
3717340,,Dobson town,171,Surry,"1,511",744.1,2.03, ,59,41,51,93,147,199,203,244,121,186,97,70,,"1,279",88,0,87,0,17,40, ,"1,384",127, ,"1,120",155,285,419,182,53,22,4, ,"1,120",155,704,261, ,594,68,47,43,17,31,26,10,37,23,78,69,45,64,16,10,10, ,"$46,957 ", ,"$46,957 ","$72,500 ","$30,000 ", ,"$26,955 ", ,594,282,312, ,282,256,26, ,282,0,18,73,94,74,23,0,0,0, ,229,14,215, ,780,132,648, ,287,28,259,77.0,0.67228824,0.0,0.42409875,0.42409875
3717520,,Dortches town,127,Nash,978,120.9,8.09, ,40,29,45,25,139,55,106,175,158,124,66,16,,628,330,10,0,0,0,10, ,968,10, ,700,71,217,238,107,46,18,3, ,700,71,455,174, ,351,23,4,6,11,15,11,21,18,18,35,54,34,31,15,18,37, ,"$63,942 ", ,"$63,942 ","$72,222 ","$36,382 ", ,"$36,274 ", ,351,288,63, ,288,202,86, ,288,4,7,53,67,128,25,4,0,0, ,139,18,121, ,633,57,576, ,206,14,192,6.0,0.48685466,0.161853309,1.509993186,1.671846495
3717660,,Dover town,49,Craven,283,294.9,0.96, ,1,5,5,35,22,20,7,42,57,67,19,3,,92,187,0,0,0,0,4, ,283,0, ,215,63,84,42,23,0,0,3, ,215,63,126,26, ,130,6,3,23,14,13,2,4,6,9,19,9,11,8,0,3,0, ,"$40,000 ", ,"$40,000 ","$47,250 ","$19,464 ", ,"$21,592 ", ,130,93,37, ,93,37,56, ,93,0,13,46,12,14,0,8,0,0, ,46,10,36, ,148,23,125, ,89,39,50,51.0,0.8311001,,,
3717860,,Drexel town,23,Burke,"1,725","1,248.50",1.38, ,62,70,60,24,117,207,179,265,344,260,104,33,,"1,568",42,0,51,0,32,32, ,"1,628",97, ,"1,392",152,456,504,163,67,17,33, ,"1,392",152,960,280, ,744,42,43,24,36,47,42,23,41,21,75,98,128,81,22,8,13, ,"$57,609 ", ,"$57,609 ","$62,300 ","$27,054 ", ,"$29,217 ", ,744,576,168, ,576,527,49, ,576,21,10,169,164,195,17,0,0,0, ,216,51,165, ,"1,101",117,984, ,301,23,278,78.0,0.65569995,0.183002822,2.086705262,2.269708084
3718040,,Dublin town,17,Bladen,380,873.2,0.44, ,8,15,52,54,32,57,36,21,22,45,23,15,,262,116,0,2,0,0,0, ,369,11, ,219,5,56,142,4,12,0,0, ,219,5,198,16, ,136,6,6,0,28,4,12,9,24,12,0,1,14,4,3,10,3, ,"$40,375 ", ,"$40,375 ","$44,375 ","$38,750 ", ,"$19,301 ", ,136,74,62, ,74,61,13, ,74,0,8,22,10,23,6,5,0,0, ,129,8,121, ,168,10,158, ,83,11,72,49.0,0.96020001,,,
3718060,,Duck town,55,Dare,584,241.8,2.42, ,10,24,11,9,44,18,27,89,126,123,90,13,,566,0,0,10,0,2,6, ,576,8, ,486,16,38,144,172,68,30,18, ,486,16,182,288, ,289,6,7,5,4,7,10,9,6,6,19,18,43,25,57,26,41, ,"$107,083 ", ,"$107,083 ","$112,188 ","$37,500 ", ,"$69,007 ", ,289,259,30, ,259,259,0, ,259,0,0,0,2,9,109,84,30,25, ,54,0,54, ,304,38,266, ,226,5,221,,0.02095134,30.46588345,48.69609686,79.16198031
3718080,,Dudley CDP,191,Wayne,"1,841",667.1,2.76, ,412,45,118,111,408,83,41,320,102,152,49,0,,779,986,0,0,0,42,34, ,"1,115",726, ,747,177,369,22,165,14,0,0, ,747,177,391,179, ,395,0,13,59,11,0,49,8,0,0,39,62,0,46,0,0,108, ,"$63,484 ", ,"$63,484 ",,, ,"$23,071 ", ,395,337,58, ,337,95,242, ,337,0,11,257,8,61,0,0,0,0, ,686,396,290, ,954,227,727, ,201,0,201,,0.90094541,0.421174572,1.424722505,1.845897077
3718300,,Dundarrach CDP,93,Hoke,60,45.6,1.32, ,0,0,0,0,0,16,5,6,21,12,0,0,,60,0,0,0,0,0,0, ,60,0, ,60,22,32,6,0,0,0,0, ,60,22,38,0, ,24,0,0,0,0,0,6,0,0,0,0,0,18,0,0,0,0, ,"$80,000 ", ,"$80,000 ",,, ,"$26,118 ", ,24,12,12, ,12,12,0, ,12,0,0,0,6,6,0,0,0,0, ,0,0,0, ,48,0,48, ,12,0,12,6.0,0.94820087,0.0,8.554363571,8.554363571
3718320,,Dunn city,85,Harnett,"9,738","1,417.50",6.87, ,551,586,631,238,800,"1,368",954,"1,068","1,283","1,228",742,289,,"5,110","3,861",40,48,0,547,132, ,"9,018",720, ,"6,932",967,"2,431","2,204",936,296,59,39, ,"6,932",967,"4,635","1,330", ,"4,133",418,404,353,357,269,297,199,231,208,326,316,343,182,115,51,64, ,"$34,464 ", ,"$34,464 ","$51,348 ","$21,908 ", ,"$22,576 ", ,"4,133","2,219","1,914", ,"2,219","1,450",769, ,"2,219",12,83,651,550,736,144,28,0,15, ,"1,971",785,"1,186", ,"5,456","1,139","4,317", ,"2,069",249,"1,820",66.0,0.84848812,1.185120289,5.880028144,7.065148434
3719000,,Durham city,63,Durham,"276,341","2,450.00",112.79, ,"18,297","16,076","15,160","9,251","30,265","53,736","37,925","32,743","29,973","20,590","8,428","3,897",,"133,832","103,580",736,"14,846",149,"9,084","14,114", ,"238,163","38,178", ,"187,292","19,226","30,616","41,632","49,980","28,962","8,175","8,701", ,"187,292","19,226","72,248","95,818", ,"114,420","6,828","4,309","3,610","4,871","5,399","6,046","5,154","5,247","4,518","9,390","10,850","14,566","10,520","6,708","7,982","8,422", ,"$61,962 ", ,"$61,962 ","$92,854 ","$42,070 ", ,"$36,136 ", ,"114,420","59,063","55,357", ,"59,063","33,601","25,462", ,"59,063",580,329,"2,753","6,592","29,613","14,495","3,417",750,534, ,"57,833","12,197","45,636", ,"175,648","22,854","152,794", ,"31,977","2,591","29,386",,0.7368,0.340471165,10.96727273,11.30774389
3719140,,Earl town,45,Cleveland,330,383.1,0.86, ,2,7,15,7,12,2,34,39,160,45,7,0,,281,38,6,0,0,5,0, ,325,5, ,287,29,149,99,5,5,0,0, ,287,29,248,10, ,142,1,12,12,2,6,6,44,5,8,10,15,10,6,0,4,1, ,"$36,951 ", ,"$36,951 ","$37,073 ",, ,"$21,227 ", ,142,120,22, ,120,118,2, ,120,5,12,24,55,22,2,0,0,0, ,29,2,27, ,247,74,173, ,52,0,52,56.0,0.64370001,,,
3719300,,East Arcadia town,17,Bladen,603,268.4,2.25, ,12,39,24,22,68,87,62,105,111,38,25,10,,0,589,2,0,0,0,12, ,603,0, ,438,51,98,198,57,2,0,32, ,438,51,296,91, ,231,21,25,27,11,19,4,2,34,2,15,15,53,3,0,0,0, ,"$42,852 ", ,"$42,852 ","$43,984 ",, ,"$19,083 ", ,231,174,57, ,174,0,174, ,174,51,7,25,45,14,32,0,0,0, ,94,15,79, ,433,42,391, ,73,27,46,44.0,0.8740233,,,
3719320,,East Bend town,197,Yadkin,739,564.8,1.31, ,37,50,59,11,105,72,171,71,56,49,30,28,,726,0,0,0,0,12,1, ,711,28, ,477,57,170,174,55,14,4,3, ,477,57,344,76, ,232,6,8,1,11,15,22,8,6,9,28,17,33,41,24,0,3, ,"$63,750 ", ,"$63,750 ","$79,375 ","$53,661 ", ,"$25,169 ", ,232,175,57, ,175,170,5, ,175,2,3,45,67,40,17,0,0,1, ,122,21,101, ,475,41,434, ,107,4,103,6.0,0.6293,0.0,0.216523497,0.216523497
3719420,,East Flat Rock CDP,89,Henderson,"6,108","1,427.60",4.28, ,191,523,544,399,735,689,"1,103",618,530,542,197,37,,"5,162",290,0,102,0,473,81, ,"4,652","1,456", ,"3,716",510,"1,405","1,285",138,322,35,21, ,"3,716",510,"2,690",516, ,"2,122",35,228,0,82,102,208,181,70,139,333,141,310,155,96,24,18, ,"$50,784 ", ,"$50,784 ","$54,795 ","$38,304 ", ,"$22,883 ", ,"2,122","1,209",913, ,"1,209","1,044",165, ,"1,209",86,128,135,212,607,23,18,0,0, ,"1,544",282,"1,262", ,"3,675",392,"3,283", ,753,84,669,56.0,0.6307944,0.0,7.655342639,7.655342639
3719620,,East Laurinburg town,165,Scotland,345,"1,796.00",0.19, ,28,15,20,7,37,37,47,49,56,26,19,4,,214,87,32,0,0,3,9, ,327,18, ,238,56,124,51,7,0,0,0, ,238,56,175,7, ,132,29,17,10,16,11,0,9,1,6,13,6,0,6,8,0,0, ,"$23,846 ", ,"$23,846 ","$39,375 ","$15,313 ", ,"$14,874 ", ,132,65,67, ,65,57,8, ,65,5,42,15,3,0,0,0,0,0, ,70,46,24, ,226,104,122, ,49,11,38,53.0,0.98150001,2.368448942,49.59057276,51.9590217
3719740,,Eastover town,51,Cumberland,"3,740",330.2,11.33, ,237,187,237,357,232,412,387,421,442,488,301,39,,"2,926",428,84,0,0,0,302, ,"3,599",141, ,"2,490",94,724,956,329,292,38,57, ,"2,490",94,"1,680",716, ,"1,388",39,92,82,69,99,110,31,17,71,177,169,173,94,66,44,55, ,"$55,174 ", ,"$55,174 ","$65,568 ",, ,"$25,788 ", ,"1,388",988,400, ,988,838,150, ,988,16,19,88,112,562,170,21,0,0, ,"1,008",96,912, ,"1,878",273,"1,605", ,753,73,680,64.0,0.58226261,19.11059341,9.48445859,28.595052
3719800,,East Rockingham CDP,153,Richmond,"3,338",976.4,3.42, ,239,162,398,372,196,209,517,438,400,241,99,67,,"2,103",964,0,1,0,73,197, ,"2,839",499, ,"1,971",409,671,641,111,129,10,0, ,"1,971",409,"1,312",250, ,"1,297",151,74,187,128,137,72,19,40,12,73,268,53,70,4,9,0, ,"$29,334 ", ,"$29,334 ","$42,750 ","$20,146 ", ,"$15,359 ", ,"1,297",984,313, ,984,590,394, ,984,63,258,385,193,75,10,0,0,0, ,"1,158",631,527, ,"1,757",412,"1,345", ,407,62,345,51.0,0.82194824,0.111177977,5.06807827,5.179256248
3719860,,East Spencer town,159,Rowan,"1,382",656,2.11, ,49,34,62,42,66,181,141,196,212,343,48,8,,193,"1,057",8,0,0,113,11, ,"1,293",89, ,"1,129",150,458,394,114,13,0,0, ,"1,129",150,852,127, ,641,62,115,19,44,46,30,27,71,13,57,30,39,11,77,0,0, ,"$36,250 ", ,"$36,250 ","$58,056 ","$15,481 ", ,"$20,973 ", ,641,322,319, ,322,19,303, ,322,0,96,144,54,28,0,0,0,0, ,187,79,108, ,796,298,498, ,399,28,371,71.0,0.74527188,1.036746187,8.111718705,9.148464892
3720080,,Eden city,157,Rockingham,"14,986","1,055.50",14.2, ,908,774,939,425,"1,243","1,818","1,876","1,961","1,941","1,851",817,433,,"9,424","4,245",159,322,10,215,611, ,"14,152",834, ,"10,697","1,890","3,811","3,309","1,064",514,100,9, ,"10,697","1,890","7,120","1,687", ,"6,474",589,688,408,360,553,380,325,279,361,539,769,534,350,90,156,93, ,"$39,083 ", ,"$39,083 ","$49,077 ","$27,449 ", ,"$22,172 ", ,"6,474","3,451","3,023", ,"3,451","2,682",769, ,"3,451",77,340,"1,636",701,540,125,22,0,10, ,"2,686",993,"1,693", ,"8,793","1,796","6,997", ,"2,925",361,"2,564",77.0,0.72957563,0.924795468,10.67484334,11.5996388
3720120,,Edenton town,41,Chowan,"4,640",863.3,5.37, ,379,211,539,177,106,774,430,547,307,647,271,252,,"1,624","2,768",0,65,0,31,152, ,"4,492",148, ,"3,228",514,955,927,519,181,68,64, ,"3,228",514,"1,882",832, ,"2,126",598,103,93,131,48,26,0,262,159,170,94,78,191,48,38,87, ,"$40,711 ", ,"$40,711 ","$58,684 ","$16,610 ", ,"$24,968 ", ,"2,126",810,"1,316", ,810,396,414, ,810,121,27,41,113,269,71,44,28,96, ,"1,273",727,546, ,"2,134",862,"1,272", ,981,179,802,55.0,0.74729562,1.520356069,16.02682646,17.54718253
3720280,,Edneyville CDP,89,Henderson,"2,782",259.1,10.74, ,217,278,227,70,322,399,329,321,257,251,86,25,,"2,580",56,0,34,0,112,0, ,"2,295",487, ,"1,668",88,530,660,269,100,21,0, ,"1,668",88,"1,190",390, ,921,78,17,43,38,31,58,15,15,43,60,73,205,124,53,23,45, ,"$73,859 ", ,"$73,859 ","$75,357 ",, ,"$27,125 ", ,921,616,305, ,616,565,51, ,616,15,8,41,35,325,145,31,16,0, ,753,257,496, ,"1,628",215,"1,413", ,362,74,288,,0.28552319,0.0,3.445082764,3.445082764
3720420,,Efland CDP,135,Orange,804,451.5,1.78, ,122,0,40,38,0,133,143,199,29,100,0,0,,482,322,0,0,0,0,0, ,804,0, ,604,14,192,238,160,0,0,0, ,604,14,430,160, ,263,0,0,0,0,14,0,10,0,36,48,0,18,70,0,67,0, ,"$105,625 ", ,"$105,625 ","$106,420 ",, ,"$30,589 ", ,263,249,14, ,249,154,95, ,249,0,36,0,96,117,0,0,0,0, ,200,0,200, ,504,14,490, ,100,0,100,,0.62145236,0.441306262,2.322069805,2.763376067
3720580,,Elizabeth City city,139,Pasquotank,"17,725","1,514.00",11.71, ,"1,472",979,"1,229",593,"2,518","2,597","2,276","1,697","1,843","1,356",791,374,,"7,306","9,116",36,227,0,197,843, ,"16,414","1,311", ,"10,934","1,295","3,083","3,630","1,829",896,96,105, ,"10,934","1,295","6,713","2,926", ,"6,405",547,420,512,370,480,254,351,410,135,493,540,811,313,351,336,82, ,"$43,024 ", ,"$43,024 ","$61,709 ","$37,167 ", ,"$23,167 ", ,"6,405","2,429","3,976", ,"2,429","1,392","1,037", ,"2,429",76,84,498,564,948,117,123,7,12, ,"4,155","1,052","3,103", ,"9,320","1,524","7,796", ,"2,309",283,"2,026",,0.54657177,9.625341044,34.03200863,43.65734967
3720600,,Elizabethtown town,17,Bladen,"3,424",675.5,5.07, ,217,165,157,133,214,677,321,407,374,487,154,118,,"1,777","1,431",43,0,0,173,0, ,"3,244",180, ,"2,538",561,563,698,589,36,43,48, ,"2,538",561,"1,261",716, ,"1,495",274,286,75,177,20,66,75,98,20,17,152,85,99,31,0,20, ,"$21,900 ", ,"$21,900 ","$32,929 ","$19,886 ", ,"$19,298 ", ,"1,495",994,501, ,994,517,477, ,994,81,14,274,228,303,80,0,0,14, ,665,247,418, ,"1,921",572,"1,349", ,617,192,425,56.0,0.7964,0.0,7.242022258,7.242022258
3720620,,Elkin town,"171, 193","Surry, Wilkes","3,968",585.4,6.78, ,238,242,294,137,315,489,485,399,497,374,313,185,,"3,071",281,5,79,0,434,98, ,"3,052",916, ,"2,742",609,799,828,387,64,31,24, ,"2,742",609,"1,627",506, ,"1,489",224,113,130,15,87,26,44,34,113,169,154,125,92,0,87,76, ,"$48,079 ", ,"$48,079 ","$66,193 ","$18,548 ", ,"$26,112 ", ,"1,489",843,646, ,843,725,118, ,843,5,0,254,170,309,66,10,7,22, ,911,330,581, ,"2,172",464,"1,708", ,677,93,584,,0.70823315,0.950932396,8.596297997,9.547230392
3720700,,Elk Park town,11,Avery,495,716.8,0.69, ,44,28,24,5,49,98,40,93,78,24,12,0,,477,4,0,3,0,0,11, ,484,11, ,345,49,120,145,17,12,0,2, ,345,49,265,31, ,237,17,56,5,2,8,3,25,27,4,15,39,30,0,4,0,2, ,"$40,272 ", ,"$40,272 ","$53,333 ",, ,"$20,193 ", ,237,122,115, ,122,122,0, ,122,4,34,19,18,40,7,0,0,0, ,101,12,89, ,358,114,244, ,36,9,27,49.0,0.4507,0.0,7.536584025,7.536584025
3720780,,Ellenboro town,161,Rutherford,794,627.6,1.27, ,49,28,76,54,111,77,68,88,155,52,31,5,,718,67,0,4,0,3,2, ,794,0, ,476,93,152,176,51,4,0,0, ,476,93,328,55, ,283,23,13,28,13,28,10,30,24,2,16,44,22,25,2,3,0, ,"$39,453 ", ,"$39,453 ","$56,000 ","$31,607 ", ,"$18,310 ", ,283,166,117, ,166,142,24, ,166,9,24,92,13,10,18,0,0,0, ,203,26,177, ,499,79,420, ,88,9,79,59.0,0.6071,,,
3720840,,Ellerbe town,153,Richmond,"1,032",784.5,1.32, ,46,121,53,16,48,195,59,176,164,33,106,15,,674,280,0,0,0,58,20, ,900,132, ,748,201,179,252,69,43,0,4, ,748,201,431,116, ,489,57,10,102,30,26,20,30,5,32,18,69,11,38,2,28,11, ,"$32,438 ", ,"$32,438 ","$38,750 ",, ,"$21,302 ", ,489,289,200, ,289,196,93, ,289,0,13,211,51,9,0,0,5,0, ,236,83,153, ,642,93,549, ,154,3,151,55.0,0.74870001,,,
3720980,,Elm City town,195,Wilson,"1,701",791,2.15, ,125,112,67,181,185,115,176,190,190,237,64,59,,421,"1,046",6,30,0,149,49, ,"1,464",237, ,"1,031",202,420,237,99,53,0,20, ,"1,031",202,657,172, ,625,80,51,71,14,50,41,21,23,65,21,65,81,22,20,0,0, ,"$37,721 ", ,"$37,721 ","$46,583 ","$22,000 ", ,"$17,957 ", ,625,349,276, ,349,154,195, ,349,24,7,208,69,35,6,0,0,0, ,485,218,267, ,856,198,658, ,360,34,326,,0.60109401,0.74866207,3.369086861,4.117748931
3721095,,Elon town,1,Alamance,"11,941","2,942.10",4.06, ,434,143,419,446,"5,502",397,"1,018",796,890,691,740,465,,"10,265",812,0,482,0,129,253, ,"11,320",621, ,"4,997",334,752,"1,261","1,456",738,323,133, ,"4,997",334,"2,013","2,650", ,"3,367",178,260,123,55,109,157,39,194,98,243,314,588,249,402,138,220, ,"$69,085 ", ,"$69,085 ","$93,980 ","$33,362 ", ,"$23,966 ", ,"3,367","1,895","1,472", ,"1,895","1,704",191, ,"1,895",25,7,18,259,650,896,20,0,20, ,"1,432",36,"1,396", ,"5,518","1,949","3,569", ,"1,785",168,"1,617",,0.35399654,0.239509665,4.027773266,4.267282931
3721120,,Elrod CDP,155,Robeson,522,97.8,5.34, ,0,37,59,63,84,33,56,52,52,43,14,29,,16,28,478,0,0,0,0, ,522,0, ,279,99,74,80,26,0,0,0, ,279,99,154,26, ,193,59,12,19,28,8,13,7,0,10,11,11,15,0,0,0,0, ,"$21,806 ", ,"$21,806 ","$28,750 ","$18,125 ", ,"$11,320 ", ,193,116,77, ,116,7,109, ,116,10,49,36,11,10,0,0,0,0, ,159,62,97, ,277,140,137, ,86,35,51,56.0,0.94025147,0.0,1.172744828,1.172744828
3721130,,Elroy CDP,191,Wayne,"4,114",629.5,6.54, ,347,335,278,162,531,460,556,464,376,375,166,64,,"2,504","1,017",4,121,0,116,352, ,"3,399",715, ,"2,461",334,794,"1,082",190,49,0,12, ,"2,461",334,"1,876",251, ,"1,509",186,56,77,37,108,22,114,114,50,99,177,235,157,29,26,22, ,"$49,208 ", ,"$49,208 ","$66,525 ","$29,333 ", ,"$21,876 ", ,"1,509",969,540, ,969,600,369, ,969,186,16,338,332,58,31,0,3,5, ,"1,106",259,847, ,"2,387",435,"1,952", ,605,19,586,58.0,0.75386461,6.265345285,3.382862702,9.648207987
3721160,,Emerald Isle town,31,Carteret,"3,691",749.7,4.92, ,131,105,143,133,91,253,292,614,795,732,281,121,,"3,408",8,52,0,38,0,185, ,"3,625",66, ,"3,088",83,576,939,829,495,87,79, ,"3,088",83,"1,515","1,490", ,"1,708",20,21,70,26,75,58,90,38,43,174,125,288,171,134,177,198, ,"$84,457 ", ,"$84,457 ","$91,449 ","$64,250 ", ,"$51,915 ", ,"1,708","1,423",285, ,"1,423","1,342",81, ,"1,423",31,0,55,14,293,560,293,157,20, ,512,0,512, ,"2,045",53,"1,992", ,"1,134",26,"1,108",73.0,0.09588172,18.01471911,39.31785944,57.33257855
3721260,,Emma CDP,21,Buncombe,"2,532","2,328.70",1.09, ,128,291,88,15,371,451,323,74,237,485,69,0,,"2,203",138,0,0,0,191,0, ,"1,799",733, ,"1,639",179,"1,001",312,136,11,0,0, ,"1,639",179,"1,313",147, ,983,60,97,127,0,45,60,224,0,11,98,70,51,32,13,8,87, ,"$36,144 ", ,"$36,144 ","$46,932 ","$18,775 ", ,"$51,101 ", ,983,581,402, ,581,494,87, ,581,63,16,298,96,78,19,11,0,0, ,522,0,522, ,"1,456",283,"1,173", ,554,73,481,,0.63937849,0.0,3.921022867,3.921022867
3721360,,Enfield town,83,Halifax,"2,348","1,804.90",1.3, ,149,144,148,90,240,370,199,256,283,197,133,139,,278,"2,003",47,0,14,0,6, ,"2,348",0, ,"1,577",453,603,422,47,52,0,0, ,"1,577",453,"1,025",99, ,978,220,147,56,109,131,49,51,8,51,12,61,40,29,0,14,0, ,"$21,774 ", ,"$21,774 ","$33,125 ","$15,473 ", ,"$13,657 ", ,978,340,638, ,340,103,237, ,340,8,92,166,65,9,0,0,0,0, ,505,192,313, ,"1,348",472,876, ,416,97,319,49.0,0.9255,,,
3721380,,Engelhard CDP,95,Hyde,155,48,3.23, ,0,0,0,14,2,0,0,0,98,21,20,0,,139,0,0,0,0,0,16, ,155,0, ,139,73,66,0,0,0,0,0, ,139,73,66,0, ,72,10,16,14,29,0,0,0,3,0,0,0,0,0,0,0,0, ,"$19,286 ", ,"$19,286 ",,"$22,629 ", ,"$9,373 ", ,72,17,55, ,17,17,0, ,17,0,3,0,0,14,0,0,0,0, ,14,14,0, ,100,100,0, ,41,0,41,,0.813,0.661679589,96.06882508,96.73050467
3721500,,Enochville CDP,159,Rowan,"3,358",750.1,4.48, ,151,169,186,185,215,423,599,350,535,370,143,32,,"3,013",298,0,0,0,0,47, ,"3,311",47, ,"2,452",562,613,"1,038",154,46,12,27, ,"2,452",562,"1,651",239, ,"1,304",100,43,48,94,62,79,117,103,23,228,88,78,168,26,26,21, ,"$47,143 ", ,"$47,143 ","$57,000 ","$42,758 ", ,"$22,344 ", ,"1,304",716,588, ,716,689,27, ,716,13,7,229,235,204,16,0,0,12, ,671,271,400, ,"2,122",667,"1,455", ,545,18,527,58.0,0.62231051,0.29507529,7.587141902,7.882217192
3721740,,Erwin town,85,Harnett,"5,104","1,210.70",4.22, ,462,238,310,176,320,717,512,670,718,458,378,145,,"3,451","1,044",29,2,0,486,92, ,"4,387",717, ,"3,598",555,"1,461","1,195",249,102,12,24, ,"3,598",555,"2,656",387, ,"1,776",134,105,139,88,107,112,171,96,48,170,213,166,92,52,73,10, ,"$41,702 ", ,"$41,702 ","$57,738 ","$32,348 ", ,"$21,193 ", ,"1,776","1,102",674, ,"1,102",781,321, ,"1,102",36,48,526,259,206,27,0,0,0, ,"1,163",222,941, ,"2,925",396,"2,529", ,893,111,782,58.0,0.75041834,8.323082686,3.675267912,11.9983506
3721880,,Etowah CDP,89,Henderson,"7,840",443.9,17.66, ,448,322,271,150,399,874,663,741,"1,330","1,579",863,200,,"6,884",169,0,131,0,331,325, ,"7,610",230, ,"6,250",717,"1,475","2,360","1,087",495,106,10, ,"6,250",717,"3,835","1,698", ,"3,593",68,171,67,48,204,299,146,268,147,210,481,416,672,81,152,163, ,"$64,892 ", ,"$64,892 ","$71,005 ","$30,361 ", ,"$33,173 ", ,"3,593","3,060",533, ,"3,060","2,475",585, ,"3,060",8,103,324,231,"1,529",717,120,10,18, ,"1,191",0,"1,191", ,"4,007",213,"3,794", ,"2,642",53,"2,589",64.0,0.21783608,1.514550376,14.96127302,16.47582339
3721960,,Eureka town,191,Wayne,215,629,0.34, ,20,8,6,17,11,28,20,28,24,31,12,10,,169,44,0,0,0,0,2, ,201,14, ,153,17,36,75,20,5,0,0, ,153,17,111,25, ,89,1,7,5,2,5,22,1,7,6,6,8,11,6,2,0,0, ,"$40,625 ", ,"$40,625 ","$41,250 ","$32,250 ", ,"$21,372 ", ,89,68,21, ,68,54,14, ,68,4,11,29,4,17,3,0,0,0, ,51,0,51, ,111,9,102, ,53,3,50,57.0,0.57800001,,,
