Place FIPS,"Unincorporated, Non-Place FIPS",Geography Name,County FIPS,County Name,Total Population,Population Density (Per Sq. Mile),Area (Land),SE:A01001. Age,Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,SE:A03001. Race,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,SE:B04001. Hispanic or Latino ,Not Hispanic or Latino:,Hispanic or Latino,SE:A12001. Educational Attainment for Population 25 Years and Over,Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,SE:B12001. Educational Attainment for Population 25 Years and Over (Collapsed Version),Population 25 Years and Over:.1,Less than High School.1,High School Diploma,Bachelor's Degree or Better,SE:A14001. Household Income (In 2020 Inflation Adjusted Dollars),Households:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or More",SE:A14006. Median Household Income (In 2020 Inflation Adjusted Dollars),Median Household Income (In 2020 Inflation Adjusted Dollars),SE:A14015. Median Household Income by Tenure (In 2020 Inflation Adjusted Dollars),Median Household Income Occupied Housing Units:,Owner Occupied,Renter Occupied,SE:A14024. Per Capita Income (In 2020 Inflation Adjusted Dollars),Per Capita Income (In 2020 Inflation Adjusted Dollars),SE:A10060. Tenure,Occupied Housing Units:,Owner Occupied.1,Renter Occupied.1,SE:B10060. White vs Non-White Homeowners,Owner Occupied Housing Units:,"White Alone, Not Hispanic or Latino Homeowners ",Non-White Homeowners,SE:A10035. House Value for All Owner-Occupied Housing Units,Owner-Occupied Housing Units:,"Less than $20,000","$20,000 to $49,999","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $299,999","$300,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 or More",SE:A13003A. Poverty Status in 2020 for Children Under 18,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Living in Poverty,At or Above Poverty Level,SE:A13003B. Poverty Status in 2020 for Population Age 18 to 64,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty.1,At or Above Poverty Level.1,SE:A13003C. Poverty Status in 2020 for Population Age 65 and Over,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty.2,At or Above Poverty Level.2,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk
3722640,,Falkland town,147,Pitt,183,803.6,0.23, ,0,0,12,7,4,7,6,52,82,6,0,7,,118,65,0,0,0,0,0, ,183,0, ,160,5,135,18,0,2,0,0, ,160,5,153,2, ,84,7,0,1,0,0,0,0,7,6,2,0,61,0,0,0,0, ,"$78,279 ", ,"$78,279 ","$78,279 ",, ,"$29,729 ", ,84,84,0, ,84,64,20, ,84,0,61,17,6,0,0,0,0,0, ,19,0,19, ,151,2,149, ,13,5,8,51.0,0.6377,,,
3722720,,Fallston town,45,Cleveland,776,358.5,2.16, ,98,26,23,6,37,122,45,73,110,121,81,34,,742,17,0,8,0,7,2, ,776,0, ,586,104,133,216,125,8,0,0, ,586,104,349,133, ,324,48,34,10,47,25,19,17,14,10,14,10,23,22,0,0,31, ,"$28,333 ", ,"$28,333 ","$40,556 ","$13,077 ", ,"$28,676 ", ,324,236,88, ,236,234,2, ,236,29,8,104,56,21,9,9,0,0, ,153,91,62, ,387,102,285, ,236,54,182,56.0,0.62329987,,,
3722800,,Farmington CDP,59,Davie,368,226.6,1.62, ,0,0,75,48,48,20,65,69,10,15,18,0,,358,0,0,0,0,0,10, ,368,0, ,197,0,92,105,0,0,0,0, ,197,0,197,0, ,133,0,18,0,0,0,15,10,0,13,0,23,54,0,0,0,0, ,"$71,141 ", ,"$71,141 ","$48,269 ",, ,"$20,379 ", ,133,94,39, ,94,94,0, ,94,0,0,0,15,79,0,0,0,0, ,123,0,123, ,212,0,212, ,33,0,33,,0.1671,0.0,11.63387774,11.63387774
3722820,,Farmville town,147,Pitt,"4,716","1,472.20",3.2, ,174,357,499,164,354,573,572,388,488,803,225,119,,"2,012","2,555",0,0,0,0,149, ,"4,618",98, ,"3,168",460,840,"1,139",511,191,27,0, ,"3,168",460,"1,979",729, ,"1,898",234,55,127,102,158,62,147,42,91,32,114,411,71,124,79,49, ,"$46,719 ", ,"$46,719 ","$84,821 ","$24,805 ", ,"$25,864 ", ,"1,898","1,121",777, ,"1,121",783,338, ,"1,121",0,0,252,288,306,125,150,0,0, ,"1,194",356,838, ,"2,369",510,"1,859", ,"1,111",50,"1,061",68.0,0.83748106,0.99061707,1.260535081,2.251152151
3722920,,Fayetteville city,51,Cumberland,"211,201","1,424.50",148.26, ,"16,492","14,047","12,141","6,860","32,464","39,817","23,446","19,463","21,157","14,687","7,601","3,026",,"90,135","89,979","1,984","6,480","1,014","6,410","15,199", ,"184,175","27,026", ,"129,197","10,197","32,352","51,341","23,306","8,797","2,005","1,199", ,"129,197","10,197","83,693","35,307", ,"82,242","7,283","4,921","4,024","4,851","5,038","5,077","4,199","4,333","4,561","7,310","8,600","9,512","5,307","2,747","2,426","2,053", ,"$46,321 ", ,"$46,321 ","$64,985 ","$36,224 ", ,"$25,659 ", ,"82,242","36,526","45,716", ,"36,526","17,109","19,417", ,"36,526",740,825,"9,057","10,731","12,159","2,118",598,142,156, ,"48,769","14,051","34,718", ,"122,663","21,804","100,859", ,"24,686","3,240","21,446",92.0,0.9427,4.67754113,5.836900368,10.5144415
3722982,,Fearrington Village CDP,37,Chatham,"2,692","1,507.10",1.79, ,34,10,0,0,197,41,45,62,295,935,686,387,,"2,610",43,0,39,0,0,0, ,"2,686",6, ,"2,451",16,76,389,785,751,118,316, ,"2,451",16,465,"1,970", ,"1,508",0,70,14,25,44,112,54,26,27,126,173,140,123,187,184,203, ,"$82,708 ", ,"$82,708 ","$84,870 ","$62,946 ", ,"$68,651 ", ,"1,508","1,209",299, ,"1,209","1,190",19, ,"1,209",17,0,0,0,391,656,126,19,0, ,44,0,44, ,635,4,631, ,"1,975",11,"1,964",,0.23649624,,,
3723520,,Five Points CDP,93,Hoke,"1,201",145,8.28, ,141,71,0,0,219,238,119,143,105,150,15,0,,902,218,25,9,0,41,6, ,"1,151",50, ,770,0,117,340,166,135,6,6, ,770,0,457,313, ,410,21,58,0,6,0,28,60,0,7,0,81,46,12,24,21,46, ,"$63,188 ", ,"$63,188 ","$63,859 ","$38,458 ", ,"$30,280 ", ,410,339,71, ,339,230,109, ,339,0,6,36,20,211,66,0,0,0, ,212,0,212, ,824,100,724, ,165,18,147,61.0,0.67438414,0.0,4.757837459,4.757837459
3723600,,Flat Rock village,89,Henderson,"3,354",414,8.1, ,97,38,150,72,61,109,215,309,642,956,560,145,,"3,346",0,0,1,0,0,7, ,"3,339",15, ,"2,936",67,291,804,"1,102",483,113,76, ,"2,936",67,"1,095","1,774", ,"1,595",36,30,0,21,168,36,32,71,33,161,131,161,248,146,152,169, ,"$90,642 ", ,"$90,642 ","$89,444 ","$92,054 ", ,"$48,617 ", ,"1,595","1,512",83, ,"1,512","1,506",6, ,"1,512",24,0,0,7,237,613,480,119,32, ,357,11,346, ,"1,336",64,"1,272", ,"1,661",69,"1,592",77.0,0.15323487,0.442361237,5.267134706,5.709495943
3723640,,Flat Rock CDP,89,Henderson,"1,003",384.5,2.61, ,74,22,38,24,87,176,64,150,141,81,65,81,,869,72,0,0,0,0,62, ,957,46, ,758,189,302,205,52,10,0,0, ,758,189,507,62, ,479,53,80,25,41,19,52,10,34,27,21,38,54,25,0,0,0, ,"$33,140 ", ,"$33,140 ","$44,632 ","$14,875 ", ,"$19,576 ", ,479,316,163, ,316,316,0, ,316,39,9,174,61,33,0,0,0,0, ,158,42,116, ,618,88,530, ,227,29,198,52.0,0.54515146,1.06010325,8.628069744,9.688172994
3723760,,Fletcher town,89,Henderson,"8,287","1,295.80",6.4, ,276,476,588,122,833,519,"1,403","1,017","1,235","1,166",433,219,,"7,267",398,0,279,0,327,16, ,"7,806",481, ,"5,992",329,"1,403","2,299","1,600",235,66,60, ,"5,992",329,"3,702","1,961", ,"3,531",91,135,63,58,53,225,163,316,227,176,562,518,640,154,125,25, ,"$62,007 ", ,"$62,007 ","$62,453 ","$49,003 ", ,"$31,931 ", ,"3,531","2,890",641, ,"2,890","2,623",267, ,"2,890",112,141,104,130,"1,789",600,0,14,0, ,"1,420",105,"1,315", ,"5,002",427,"4,575", ,"1,733",114,"1,619",74.0,0.23678444,2.938760486,30.70683714,33.64559763
