Place FIPS,"Unincorporated, Non-Place FIPS",Geography Name,County FIPS,County Name,Total Population,SE:A00002. Population Density (Per Sq. Mile),Population Density (Per Sq. Mile),Area (Land),SE:A01001. Age,Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,SE:A03001. Race,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,SE:B04001. Hispanic or Latino ,Not Hispanic or Latino:,Hispanic or Latino,SE:A12001. Educational Attainment for Population 25 Years and Over,Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,SE:B12001. Educational Attainment for Population 25 Years and Over (Collapsed Version),Population 25 Years and Over:,Less than High School,High School Diploma,Bachelor's Degree or Better,SE:A14001. Household Income (In 2020 Inflation Adjusted Dollars),Households:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or More",SE:A14006. Median Household Income (In 2020 Inflation Adjusted Dollars),Median Household Income (In 2020 Inflation Adjusted Dollars),SE:A14015. Median Household Income by Tenure (In 2020 Inflation Adjusted Dollars),Median Household Income Occupied Housing Units:,Owner Occupied,Renter Occupied,SE:A14024. Per Capita Income (In 2020 Inflation Adjusted Dollars),Per Capita Income (In 2020 Inflation Adjusted Dollars),SE:A10060. Tenure,Occupied Housing Units:,Owner Occupied,Renter Occupied,SE:B10060. White vs Non-White Homeowners,Owner Occupied Housing Units:,"White Alone, Not Hispanic or Latino Homeowners ",Non-White Homeowners,SE:A10035. House Value for All Owner-Occupied Housing Units,Owner-Occupied Housing Units:,"Less than $20,000","$20,000 to $49,999","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $299,999","$300,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 or More",SE:A13003A. Poverty Status in 2020 for Children Under 18,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Living in Poverty,At or Above Poverty Level,SE:A13003B. Poverty Status in 2020 for Population Age 18 to 64,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty,At or Above Poverty Level,SE:A13003C. Poverty Status in 2020 for Population Age 65 and Over,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty,At or Above Poverty Level,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk
3755000,,Raleigh city,183,Wake ,"469,698", ,"3,192.70",147.12, ,"26,551","26,751","26,487","15,807","58,409","88,760","67,327","60,137","48,672","30,851","13,792","6,154",,"270,066","135,758","1,426","22,717",179,"19,598","19,954", ,"418,478","51,220", ,"315,693","24,485","49,805","79,015","103,032","41,873","10,360","7,123", ,"315,693","24,485","128,820","162,388", ,"187,517","7,388","5,719","5,830","7,086","7,580","8,666","8,118","8,309","7,920","14,108","19,752","25,187","17,333","12,890","14,339","17,292", ,"$69,720 ", ,"$69,720 ","$98,688 ","$47,469 ", ,"$40,520 ", ,"187,517","96,520","90,997", ,"96,520","67,132","29,388", ,"96,520","1,228",798,"2,062","8,142","44,021","26,470","8,189","3,539","2,071", ,"94,291","15,557","78,734", ,"305,935","34,406","271,529", ,"49,421","3,176","46,245",N/A,0.408,0.944182367,8.10095923,9.045141597
,,,,,, ,,, ,5.70%,5.70%,5.60%,3.40%,12.40%,18.90%,14.30%,12.80%,10.40%,6.60%,2.90%,1.30%,,57.50%,28.90%,0.30%,4.80%,0.00%,4.20%,4.30%, ,89.10%,10.90%, ,,7.80%,15.80%,25.00%,32.60%,13.30%,3.30%,2.30%, ,,7.80%,40.80%,51.40%, ,,3.90%,3.10%,3.10%,3.80%,4.00%,4.60%,4.30%,4.40%,4.20%,7.50%,10.50%,13.40%,9.20%,6.90%,7.70%,9.20%, ,, ,,,, ,, ,,51.50%,48.50%, ,,69.60%,30.50%, ,,1.30%,0.80%,2.10%,8.40%,45.60%,27.40%,8.50%,3.70%,2.20%, ,,16.50%,83.50%, ,,11.30%,88.80%, ,,6.40%,93.60%,,,,,
3755040,,Ramseur town,151,Randolph ,"2,048", ,"1,028.30",1.99, ,286,177,222,153,112,278,145,168,130,180,123,74,,"1,174",203,69,30,0,85,487, ,"1,543",505, ,"1,098",210,313,465,94,13,3,0, ,"1,098",210,778,110, ,680,172,56,72,54,21,64,28,21,48,60,35,33,3,6,7,0, ,"$23,542 ", ,"$23,542 ","$46,667 ","$13,000 ", ,"$12,004 ", ,680,272,408, ,272,213,59, ,272,0,2,134,77,44,15,0,0,0, ,835,471,364, ,833,290,543, ,292,77,215,67,0.73030109,0.599082862,21.32725998,21.92634284
,,,,,, ,,, ,14.00%,8.60%,10.80%,7.50%,5.50%,13.60%,7.10%,8.20%,6.40%,8.80%,6.00%,3.60%,,57.30%,9.90%,3.40%,1.50%,0.00%,4.20%,23.80%, ,75.30%,24.70%, ,,19.10%,28.50%,42.40%,8.60%,1.20%,0.30%,0.00%, ,,19.10%,70.90%,10.00%, ,,25.30%,8.20%,10.60%,7.90%,3.10%,9.40%,4.10%,3.10%,7.10%,8.80%,5.20%,4.90%,0.40%,0.90%,1.00%,0.00%, ,, ,,,, ,, ,,40.00%,60.00%, ,,78.30%,21.70%, ,,0.00%,0.70%,49.30%,28.30%,16.20%,5.50%,0.00%,0.00%,0.00%, ,,56.40%,43.60%, ,,34.80%,65.20%, ,,26.40%,73.60%,,,,,
3755080,,Randleman city,151,Randolph ,"4,124", ,"1,014.90",4.06, ,512,200,332,185,467,504,399,756,390,220,111,48,,"3,378",313,27,28,0,125,253, ,"3,862",262, ,"2,428",501,654,891,275,76,31,0, ,"2,428",501,"1,545",382, ,"1,444",158,100,56,45,70,42,40,113,39,108,187,202,93,100,49,42, ,"$57,598 ", ,"$57,598 ","$62,024 ","$26,477 ", ,"$24,253 ", ,"1,444","1,016",428, ,"1,016",756,260, ,"1,016",0,44,252,382,300,7,31,0,0, ,"1,202",403,799, ,"2,516",789,"1,727", ,379,34,345,7,0.71145449,0.012728078,4.946978173,4.959706252
,,,,,, ,,, ,12.40%,4.90%,8.10%,4.50%,11.30%,12.20%,9.70%,18.30%,9.50%,5.30%,2.70%,1.20%,,81.90%,7.60%,0.70%,0.70%,0.00%,3.00%,6.10%, ,93.70%,6.40%, ,,20.60%,26.90%,36.70%,11.30%,3.10%,1.30%,0.00%, ,,20.60%,63.60%,15.70%, ,,10.90%,6.90%,3.90%,3.10%,4.90%,2.90%,2.80%,7.80%,2.70%,7.50%,13.00%,14.00%,6.40%,6.90%,3.40%,2.90%, ,, ,,,, ,, ,,70.40%,29.60%, ,,74.40%,25.60%, ,,0.00%,4.30%,24.80%,37.60%,29.50%,0.70%,3.10%,0.00%,0.00%, ,,33.50%,66.50%, ,,31.40%,68.60%, ,,9.00%,91.00%,,,,,
3755260,,Ranlo town,71,Gaston ,"3,643", ,"2,004.10",1.82, ,288,383,334,97,305,474,544,467,247,362,111,31,,"2,556",773,0,114,0,7,193, ,"3,146",497, ,"2,236",287,810,817,234,81,7,0, ,"2,236",287,"1,627",322, ,"1,262",28,99,59,80,51,45,30,48,47,82,164,307,138,14,26,44, ,"$66,360 ", ,"$66,360 ","$71,841 ",, ,"$25,607 ", ,"1,262",907,355, ,907,664,243, ,907,6,27,157,290,403,0,24,0,0, ,"1,102",137,965, ,"2,037",232,"1,805", ,504,40,464,61,0.59927962,0.065431,3.03213469,3.097565689
,,,,,, ,,, ,7.90%,10.50%,9.20%,2.70%,8.40%,13.00%,14.90%,12.80%,6.80%,9.90%,3.10%,0.90%,,70.20%,21.20%,0.00%,3.10%,0.00%,0.20%,5.30%, ,86.40%,13.60%, ,,12.80%,36.20%,36.50%,10.50%,3.60%,0.30%,0.00%, ,,12.80%,72.80%,14.40%, ,,2.20%,7.80%,4.70%,6.30%,4.00%,3.60%,2.40%,3.80%,3.70%,6.50%,13.00%,24.30%,10.90%,1.10%,2.10%,3.50%, ,, ,,,, ,, ,,71.90%,28.10%, ,,73.20%,26.80%, ,,0.70%,3.00%,17.30%,32.00%,44.40%,0.00%,2.70%,0.00%,0.00%, ,,12.40%,87.60%, ,,11.40%,88.60%, ,,7.90%,92.10%,,,,,
3755340,,Raynham town,155,Robeson ,41, ,336.9,0.12, ,0,0,1,0,3,2,7,3,7,10,6,2,,24,6,11,0,0,0,0, ,41,0, ,37,4,10,20,3,0,0,0, ,37,4,30,3, ,24,4,6,2,0,3,0,0,0,0,1,2,0,2,4,0,0, ,, ,,,, ,"$33,727 ", ,24,20,4, ,20,8,12, ,20,1,0,7,2,9,1,0,0,0, ,1,0,1, ,22,6,16, ,18,6,12,43,0.77699988,N/A,N/A,N/A
,,,,,, ,,, ,0.00%,0.00%,2.40%,0.00%,7.30%,4.90%,17.10%,7.30%,17.10%,24.40%,14.60%,4.90%,,58.50%,14.60%,26.80%,0.00%,0.00%,0.00%,0.00%, ,100.00%,0.00%, ,,10.80%,27.00%,54.10%,8.10%,0.00%,0.00%,0.00%, ,,10.80%,81.10%,8.10%, ,,16.70%,25.00%,8.30%,0.00%,12.50%,0.00%,0.00%,0.00%,0.00%,4.20%,8.30%,0.00%,8.30%,16.70%,0.00%,0.00%, ,, ,,,, ,, ,,83.30%,16.70%, ,,40.00%,60.00%, ,,5.00%,0.00%,35.00%,10.00%,45.00%,5.00%,0.00%,0.00%,0.00%, ,,0.00%,100.00%, ,,27.30%,72.70%, ,,33.30%,66.70%,,,,,
3755460,,Red Cross town,167,Stanly ,710, ,198.4,3.58, ,28,14,59,24,17,85,48,82,130,138,72,13,,680,5,0,0,24,0,1, ,672,38, ,568,56,280,185,41,3,0,3, ,568,56,465,47, ,337,14,14,38,25,14,11,55,23,12,19,48,9,30,10,7,8, ,"$39,777 ", ,"$39,777 ","$48,750 ","$22,604 ", ,"$26,446 ", ,337,254,83, ,254,247,7, ,254,5,10,50,38,100,46,3,0,2, ,101,10,91, ,362,48,314, ,223,15,208,N/A,0.28880328,0,0.285686458,0.285686458
,,,,,, ,,, ,3.90%,2.00%,8.30%,3.40%,2.40%,12.00%,6.80%,11.60%,18.30%,19.40%,10.10%,1.80%,,95.80%,0.70%,0.00%,0.00%,3.40%,0.00%,0.10%, ,94.70%,5.40%, ,,9.90%,49.30%,32.60%,7.20%,0.50%,0.00%,0.50%, ,,9.90%,81.90%,8.30%, ,,4.20%,4.20%,11.30%,7.40%,4.20%,3.30%,16.30%,6.80%,3.60%,5.60%,14.20%,2.70%,8.90%,3.00%,2.10%,2.40%, ,, ,,,, ,, ,,75.40%,24.60%, ,,97.20%,2.80%, ,,2.00%,3.90%,19.70%,15.00%,39.40%,18.10%,1.20%,0.00%,0.80%, ,,9.90%,90.10%, ,,13.30%,86.70%, ,,6.70%,93.30%,,,,,
3755640,,Red Oak town,127,Nash ,"3,446", ,176.4,19.53, ,90,117,251,79,143,172,297,515,594,851,203,134,,"3,109",337,0,0,0,0,0, ,"3,436",10, ,"2,766",159,817,840,710,152,74,14, ,"2,766",159,"1,657",950, ,"1,479",15,64,42,18,101,80,53,36,47,108,275,177,168,73,89,133, ,"$73,010 ", ,"$73,010 ","$74,690 ","$28,633 ", ,"$44,243 ", ,"1,479","1,311",168, ,"1,311","1,179",132, ,"1,311",65,38,109,174,742,183,0,0,0, ,537,12,525, ,"1,721",161,"1,560", ,"1,188",15,"1,173",73,0.29261354,0.191875567,3.530141189,3.722016756
,,,,,, ,,, ,2.60%,3.40%,7.30%,2.30%,4.20%,5.00%,8.60%,14.90%,17.20%,24.70%,5.90%,3.90%,,90.20%,9.80%,0.00%,0.00%,0.00%,0.00%,0.00%, ,99.70%,0.30%, ,,5.80%,29.50%,30.40%,25.70%,5.50%,2.70%,0.50%, ,,5.80%,59.90%,34.40%, ,,1.00%,4.30%,2.80%,1.20%,6.80%,5.40%,3.60%,2.40%,3.20%,7.30%,18.60%,12.00%,11.40%,4.90%,6.00%,9.00%, ,, ,,,, ,, ,,88.60%,11.40%, ,,89.90%,10.10%, ,,5.00%,2.90%,8.30%,13.30%,56.60%,14.00%,0.00%,0.00%,0.00%, ,,2.20%,97.80%, ,,9.40%,90.60%, ,,1.30%,98.70%,,,,,
3755660,,Red Springs town,155,Robeson ,"3,291", ,940.2,3.5, ,232,251,166,133,274,404,479,203,428,541,114,66,,981,"1,557",537,0,0,123,93, ,"2,978",313, ,"2,235",450,732,566,442,37,8,0, ,"2,235",450,"1,298",487, ,"1,308",276,242,84,63,103,62,29,12,42,96,138,73,55,12,21,0, ,"$24,427 ", ,"$24,427 ","$49,286 ","$11,701 ", ,"$15,880 ", ,"1,308",714,594, ,714,270,444, ,714,9,192,343,76,94,0,0,0,0, ,758,556,202, ,"1,787",637,"1,150", ,721,151,570,N/A,0.94087185,0,11.35562359,11.35562359
,,,,,, ,,, ,7.10%,7.60%,5.00%,4.00%,8.30%,12.30%,14.60%,6.20%,13.00%,16.40%,3.50%,2.00%,,29.80%,47.30%,16.30%,0.00%,0.00%,3.70%,2.80%, ,90.50%,9.50%, ,,20.10%,32.80%,25.30%,19.80%,1.70%,0.40%,0.00%, ,,20.10%,58.10%,21.80%, ,,21.10%,18.50%,6.40%,4.80%,7.90%,4.70%,2.20%,0.90%,3.20%,7.30%,10.60%,5.60%,4.20%,0.90%,1.60%,0.00%, ,, ,,,, ,, ,,54.60%,45.40%, ,,37.80%,62.20%, ,,1.30%,26.90%,48.00%,10.60%,13.20%,0.00%,0.00%,0.00%,0.00%, ,,73.40%,26.70%, ,,35.70%,64.40%, ,,20.90%,79.10%,,,,,
3755900,,Reidsville city,157,Rockingham ,"13,928", ,941.7,14.79, ,810,670,603,570,889,"1,962","1,239","1,908","1,854","1,607","1,408",408,,"7,702","5,319",20,20,0,401,466, ,"13,446",482, ,"10,386","2,009","3,618","2,837","1,370",418,60,74, ,"10,386","2,009","6,455","1,922", ,"6,466",556,855,378,565,496,306,432,344,314,387,480,875,241,124,64,49, ,"$35,802 ", ,"$35,802 ","$48,083 ","$23,439 ", ,"$21,837 ", ,"6,466","3,405","3,061", ,"3,405","2,340","1,065", ,"3,405",93,260,"1,071","1,163",618,141,53,0,6, ,"2,650",958,"1,692", ,"7,797","1,818","5,979", ,"3,178",424,"2,754",75,0.72376938,0.628882624,13.35218063,13.98106325
,,,,,, ,,, ,5.80%,4.80%,4.30%,4.10%,6.40%,14.10%,8.90%,13.70%,13.30%,11.50%,10.10%,2.90%,,55.30%,38.20%,0.10%,0.10%,0.00%,2.90%,3.40%, ,96.50%,3.50%, ,,19.30%,34.80%,27.30%,13.20%,4.00%,0.60%,0.70%, ,,19.30%,62.20%,18.50%, ,,8.60%,13.20%,5.90%,8.70%,7.70%,4.70%,6.70%,5.30%,4.90%,6.00%,7.40%,13.50%,3.70%,1.90%,1.00%,0.80%, ,, ,,,, ,, ,,52.70%,47.30%, ,,68.70%,31.30%, ,,2.70%,7.60%,31.50%,34.20%,18.20%,4.10%,1.60%,0.00%,0.20%, ,,36.20%,63.90%, ,,23.30%,76.70%, ,,13.30%,86.70%,,,,,
3755940,,Rennert town,155,Robeson ,400, ,362.7,1.1, ,30,18,33,8,40,69,80,41,34,35,6,6,,24,65,261,0,0,48,2, ,358,42, ,271,68,71,101,22,9,0,0, ,271,68,172,31, ,166,48,7,6,10,13,13,15,4,4,2,16,3,20,5,0,0, ,"$29,500 ", ,"$29,500 ","$31,023 ","$25,938 ", ,"$16,539 ", ,166,129,37, ,129,5,124, ,129,16,64,24,15,10,0,0,0,0, ,83,17,66, ,264,89,175, ,47,9,38,55,0.91580001,0,10.04857087,10.04857087
,,,,,, ,,, ,7.50%,4.50%,8.30%,2.00%,10.00%,17.30%,20.00%,10.30%,8.50%,8.80%,1.50%,1.50%,,6.00%,16.30%,65.30%,0.00%,0.00%,12.00%,0.50%, ,89.50%,10.50%, ,,25.10%,26.20%,37.30%,8.10%,3.30%,0.00%,0.00%, ,,25.10%,63.50%,11.40%, ,,28.90%,4.20%,3.60%,6.00%,7.80%,7.80%,9.00%,2.40%,2.40%,1.20%,9.60%,1.80%,12.10%,3.00%,0.00%,0.00%, ,, ,,,, ,, ,,77.70%,22.30%, ,,3.90%,96.10%, ,,12.40%,49.60%,18.60%,11.60%,7.80%,0.00%,0.00%,0.00%,0.00%, ,,20.50%,79.50%, ,,33.70%,66.30%, ,,19.20%,80.90%,,,,,
3756100,,Rex CDP,155,Robeson ,56, ,75.5,0.74, ,0,0,0,0,0,0,0,0,43,0,13,0,,0,0,56,0,0,0,0, ,56,0, ,56,43,13,0,0,0,0,0, ,56,43,13,0, ,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0, ,, ,,,, ,, ,13,13,0, ,13,0,13, ,13,0,0,13,0,0,0,0,0,0, ,0,0,0, ,43,0,43, ,13,0,13,N/A,0.77655812,N/A,N/A,N/A
,,,,,, ,,, ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,76.80%,0.00%,23.20%,0.00%,,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%, ,100.00%,0.00%, ,,76.80%,23.20%,0.00%,0.00%,0.00%,0.00%,0.00%, ,,76.80%,23.20%,0.00%, ,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%, ,, ,,,, ,, ,,100.00%,0.00%, ,,0.00%,100.00%, ,,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%, ,,,, ,,0.00%,100.00%, ,,0.00%,100.00%,,,,,
3756240,,Rhodhiss town,"27, 23","Caldwell, Burke ",993, ,836,1.19, ,46,39,98,128,124,124,115,107,111,48,45,8,,896,2,0,20,0,67,8, ,911,82, ,558,148,278,93,27,12,0,0, ,558,148,371,39, ,347,34,27,22,27,27,6,36,22,26,36,19,21,30,6,0,8, ,"$38,625 ", ,"$38,625 ","$38,500 ","$42,578 ", ,"$19,602 ", ,347,224,123, ,224,214,10, ,224,32,26,121,37,3,0,3,0,2, ,311,48,263, ,581,101,480, ,101,25,76,N/A,0.57903509,0,9.083023681,9.083023681
,,,,,, ,,, ,4.60%,3.90%,9.90%,12.90%,12.50%,12.50%,11.60%,10.80%,11.20%,4.80%,4.50%,0.80%,,90.20%,0.20%,0.00%,2.00%,0.00%,6.80%,0.80%, ,91.70%,8.30%, ,,26.50%,49.80%,16.70%,4.80%,2.20%,0.00%,0.00%, ,,26.50%,66.50%,7.00%, ,,9.80%,7.80%,6.30%,7.80%,7.80%,1.70%,10.40%,6.30%,7.50%,10.40%,5.50%,6.10%,8.70%,1.70%,0.00%,2.30%, ,, ,,,, ,, ,,64.60%,35.50%, ,,95.50%,4.50%, ,,14.30%,11.60%,54.00%,16.50%,1.30%,0.00%,1.30%,0.00%,0.90%, ,,15.40%,84.60%, ,,17.40%,82.60%, ,,24.80%,75.30%,,,,,
3756340,,Richfield town,167,Stanly ,892, ,368.2,2.42, ,78,57,19,38,95,160,60,163,102,91,27,2,,834,13,0,37,0,4,4, ,888,4, ,605,39,120,295,86,54,4,7, ,605,39,415,151, ,297,7,6,0,13,21,6,36,5,0,13,79,56,20,15,20,0, ,"$67,028 ", ,"$67,028 ","$70,500 ","$36,927 ", ,"$23,974 ", ,297,236,61, ,236,217,19, ,236,3,0,34,36,107,46,4,0,6, ,192,18,174, ,580,21,559, ,120,7,113,6,0.4743,0,4.912492088,4.912492088
,,,,,, ,,, ,8.70%,6.40%,2.10%,4.30%,10.70%,17.90%,6.70%,18.30%,11.40%,10.20%,3.00%,0.20%,,93.50%,1.50%,0.00%,4.20%,0.00%,0.50%,0.50%, ,99.60%,0.50%, ,,6.50%,19.80%,48.80%,14.20%,8.90%,0.70%,1.20%, ,,6.50%,68.60%,25.00%, ,,2.40%,2.00%,0.00%,4.40%,7.10%,2.00%,12.10%,1.70%,0.00%,4.40%,26.60%,18.90%,6.70%,5.10%,6.70%,0.00%, ,, ,,,, ,, ,,79.50%,20.50%, ,,92.00%,8.10%, ,,1.30%,0.00%,14.40%,15.30%,45.30%,19.50%,1.70%,0.00%,2.50%, ,,9.40%,90.60%, ,,3.60%,96.40%, ,,5.80%,94.20%,,,,,
3756360,,Richlands town,133,Onslow ,"2,870", ,"1,758.70",1.63, ,213,236,459,95,231,593,507,222,125,102,66,21,,"2,072",449,4,27,39,38,241, ,"2,657",213, ,"1,636",126,550,658,132,166,2,2, ,"1,636",126,"1,208",302, ,818,71,59,21,47,34,59,36,50,18,110,63,86,73,17,72,2, ,"$52,059 ", ,"$52,059 ","$66,979 ","$34,271 ", ,"$20,458 ", ,818,438,380, ,438,308,130, ,438,2,0,32,86,309,7,0,2,0, ,"1,003",174,829, ,"1,678",314,"1,364", ,189,33,156,68,0.416,1.573204202,12.65047134,14.22367554
,,,,,, ,,, ,7.40%,8.20%,16.00%,3.30%,8.10%,20.70%,17.70%,7.70%,4.40%,3.60%,2.30%,0.70%,,72.20%,15.60%,0.10%,0.90%,1.40%,1.30%,8.40%, ,92.60%,7.40%, ,,7.70%,33.60%,40.20%,8.10%,10.20%,0.10%,0.10%, ,,7.70%,73.80%,18.50%, ,,8.70%,7.20%,2.60%,5.80%,4.20%,7.20%,4.40%,6.10%,2.20%,13.50%,7.70%,10.50%,8.90%,2.10%,8.80%,0.20%, ,, ,,,, ,, ,,53.60%,46.50%, ,,70.30%,29.70%, ,,0.50%,0.00%,7.30%,19.60%,70.60%,1.60%,0.00%,0.50%,0.00%, ,,17.40%,82.70%, ,,18.70%,81.30%, ,,17.50%,82.50%,,,,,
3756440,,Rich Square town,131,Northampton,741, ,240.1,3.09, ,39,14,0,11,71,24,13,143,122,111,126,67,,243,490,0,8,0,0,0, ,741,0, ,606,134,250,143,61,15,0,3, ,606,134,393,79, ,340,8,102,30,20,2,23,23,0,0,27,33,16,32,4,3,17, ,"$30,870 ", ,"$30,870 ","$35,329 ",, ,"$25,378 ", ,340,221,119, ,221,92,129, ,221,20,7,135,30,29,0,0,0,0, ,64,46,18, ,373,116,257, ,170,49,121,53,0.8843,N/A,N/A,N/A
,,,,,, ,,, ,5.30%,1.90%,0.00%,1.50%,9.60%,3.20%,1.80%,19.30%,16.50%,15.00%,17.00%,9.00%,,32.80%,66.10%,0.00%,1.10%,0.00%,0.00%,0.00%, ,100.00%,0.00%, ,,22.10%,41.30%,23.60%,10.10%,2.50%,0.00%,0.50%, ,,22.10%,64.90%,13.00%, ,,2.40%,30.00%,8.80%,5.90%,0.60%,6.80%,6.80%,0.00%,0.00%,7.90%,9.70%,4.70%,9.40%,1.20%,0.90%,5.00%, ,, ,,,, ,, ,,65.00%,35.00%, ,,41.60%,58.40%, ,,9.10%,3.20%,61.10%,13.60%,13.10%,0.00%,0.00%,0.00%,0.00%, ,,71.90%,28.10%, ,,31.10%,68.90%, ,,28.80%,71.20%,,,,,
3756600,,Riegelwood CDP,47,Columbus ,691, ,224,3.08, ,22,93,13,0,92,157,47,18,119,102,28,0,,580,45,24,0,0,0,42, ,667,24, ,471,21,242,197,11,0,0,0, ,471,21,439,11, ,252,31,0,10,14,8,12,42,0,0,33,48,9,43,0,0,2, ,"$51,406 ", ,"$51,406 ","$59,531 ","$36,161 ", ,"$20,327 ", ,252,189,63, ,189,179,10, ,189,0,10,16,24,139,0,0,0,0, ,128,46,82, ,433,30,403, ,130,31,99,N/A,0.7876,0,17.88887559,17.88887559
,,,,,, ,,, ,3.20%,13.50%,1.90%,0.00%,13.30%,22.70%,6.80%,2.60%,17.20%,14.80%,4.10%,0.00%,,83.90%,6.50%,3.50%,0.00%,0.00%,0.00%,6.10%, ,96.50%,3.50%, ,,4.50%,51.40%,41.80%,2.30%,0.00%,0.00%,0.00%, ,,4.50%,93.20%,2.30%, ,,12.30%,0.00%,4.00%,5.60%,3.20%,4.80%,16.70%,0.00%,0.00%,13.10%,19.10%,3.60%,17.10%,0.00%,0.00%,0.80%, ,, ,,,, ,, ,,75.00%,25.00%, ,,94.70%,5.30%, ,,0.00%,5.30%,8.50%,12.70%,73.50%,0.00%,0.00%,0.00%,0.00%, ,,35.90%,64.10%, ,,6.90%,93.10%, ,,23.90%,76.20%,,,,,
3756710,,River Bend town,49,Craven,"3,036", ,"1,208.20",2.51, ,55,114,51,39,234,290,249,502,527,547,292,136,,"2,458",249,50,197,0,0,82, ,"2,790",246, ,"2,543",177,538,"1,005",468,325,22,8, ,"2,543",177,"1,543",823, ,"1,343",67,21,14,60,96,63,75,80,37,99,165,242,160,24,49,91, ,"$67,750 ", ,"$67,750 ","$73,321 ","$40,806 ", ,"$35,254 ", ,"1,343","1,146",197, ,"1,146","1,023",123, ,"1,146",0,0,139,223,633,151,0,0,0, ,238,9,229, ,"1,802",278,"1,524", ,975,17,958,72,0.31626845,1.55627408,40.65403465,42.21030873
,,,,,, ,,, ,1.80%,3.80%,1.70%,1.30%,7.70%,9.60%,8.20%,16.50%,17.40%,18.00%,9.60%,4.50%,,81.00%,8.20%,1.70%,6.50%,0.00%,0.00%,2.70%, ,91.90%,8.10%, ,,7.00%,21.20%,39.50%,18.40%,12.80%,0.90%,0.30%, ,,7.00%,60.70%,32.40%, ,,5.00%,1.60%,1.00%,4.50%,7.20%,4.70%,5.60%,6.00%,2.80%,7.40%,12.30%,18.00%,11.90%,1.80%,3.70%,6.80%, ,, ,,,, ,, ,,85.30%,14.70%, ,,89.30%,10.70%, ,,0.00%,0.00%,12.10%,19.50%,55.20%,13.20%,0.00%,0.00%,0.00%, ,,3.80%,96.20%, ,,15.40%,84.60%, ,,1.70%,98.30%,,,,,
3756815,,River Road CDP,13,Beaufort ,"3,578", ,504.7,7.09, ,190,99,104,216,201,471,346,724,412,398,193,224,,"2,865",665,0,0,0,0,48, ,"3,157",421, ,"2,768",451,620,871,376,251,177,22, ,"2,768",451,"1,491",826, ,"1,802",186,179,117,63,106,150,38,152,0,45,268,163,119,81,52,83, ,"$41,845 ", ,"$41,845 ","$64,554 ","$23,433 ", ,"$34,879 ", ,"1,802","1,235",567, ,"1,235","1,021",214, ,"1,235",165,21,127,217,431,212,0,40,22, ,609,278,331, ,"2,154",516,"1,638", ,815,14,801,55,0.49143999,13.6776516,46.45143665,60.12908825
,,,,,, ,,, ,5.30%,2.80%,2.90%,6.00%,5.60%,13.20%,9.70%,20.20%,11.50%,11.10%,5.40%,6.30%,,80.10%,18.60%,0.00%,0.00%,0.00%,0.00%,1.30%, ,88.20%,11.80%, ,,16.30%,22.40%,31.50%,13.60%,9.10%,6.40%,0.80%, ,,16.30%,53.90%,29.80%, ,,10.30%,9.90%,6.50%,3.50%,5.90%,8.30%,2.10%,8.40%,0.00%,2.50%,14.90%,9.10%,6.60%,4.50%,2.90%,4.60%, ,, ,,,, ,, ,,68.50%,31.50%, ,,82.70%,17.30%, ,,13.40%,1.70%,10.30%,17.60%,34.90%,17.20%,0.00%,3.20%,1.80%, ,,45.70%,54.40%, ,,24.00%,76.00%, ,,1.70%,98.30%,,,,,
