Place FIPS,"Unincorporated, Non-Place FIPS",Geography Name,County FIPS,County Name
3759765.00,,Scotch Meadows CDP,165,Scotland 
3759780.00,,Scotland Neck town,83,Halifax 
3759980.00,,Seaboard town,131,Northampton 
3760000.00,,Sea Breeze CDP,129,New Hanover 
3760080.00,,Seagrove town,151,Randolph 
3760180.00,,Sedalia town,81,Guilford 
3760320.00,,Selma town,101,Johnston
3760505.00,,Seven Devils town,"11, 189","Avery, Watauga "
3760515.00,,Seven Lakes CDP,125,Moore 
3760540.00,,Seven Springs town,191,Wayne 
3760560.00,,Severn town,131,Northampton 
3760800.00,,Shallotte town,19,Brunswick 
3760940.00,,Shannon CDP,155,Robeson 
3761060.00,,Sharpsburg town,"65, 127, 195","Edgecombe, Nash, Wilson "
3761200.00,,Shelby city,45,Cleveland 
3761860.00,,Siler City town,37,Chatham
3761920.00,,Silver City CDP,93,Hoke 
3761950.00,,Silver Lake CDP,129,New Hanover 
3762040.00,,Simpson village,147,Pitt 
3762060.00,,Sims town,195,Wilson 
3762190.00,,Skippers Corner CDP,129,New Hanover 
3762520.00,,Smithfield town,101,Johnston
3762580.00,,Smithtown CDP,197,Yadkin 
3762680.00,,Sneads Ferry CDP,133,Onslow 
3762760.00,,Snow Hill town,79,Greene 
3763120.00,,Southern Pines town,125,Moore 
3763130.00,,Southern Shores town,55,Dare 
3763240.00,,South Henderson CDP,181,Vance 
3763340.00,,South Mills CDP,29,Camden 
3763360.00,,Southmont CDP,57,Davidson 
3763400.00,,Southport city,19,Brunswick 
3763470.00,,South Rosemary CDP,83,Halifax 
3763560.00,,South Weldon CDP,83,Halifax 
3763680.00,,Sparta town,5,Alleghany 
3763720.00,,Speed town,65,Edgecombe 
3763760.00,,Spencer town,159,Rowan 
3763780.00,,Spencer Mountain town,71,Gaston 
3763880.00,,Spindale town,161,Rutherford 
3763920.00,,Spivey's Corner CDP,163,Sampson 
3764000.00,,Spout Springs CDP,85,Harnett 
3764050.00,,Springdale CDP,71,Gaston 
3764160.00,,Spring Hope town,127,Nash 
3764180.00,,Spring Lake town,51,Cumberland 
3764260.00,,Spruce Pine town,121,Mitchell 
3764380.00,,Staley town,151,Randolph 
3764420.00,,Stallings town,179,Union 
3764460.00,,Stanfield town,167,Stanly 
3764500.00,,Stanley town,71,Gaston 
3764560.00,,Stantonsburg town,195,Wilson 
3764580.00,,Star town,123,Montgomery 
3764740.00,,Statesville city,97,Iredell 
3764840.00,,Stedman town,51,Cumberland 
3764940.00,,Stem town,77,Granville 
3765020.00,,Stokes CDP,147,Pitt 
3765040.00,,Stokesdale town,81,Guilford 
3765100.00,,Stoneville town,157,Rockingham 
3765120.00,,Stonewall town,137,Pamlico 
3765260.00,,Stony Point CDP,"3, 97","Alexander, Iredell "
3765320.00,,Stovall town,77,Granville 
3765530.00,,Sugar Mountain village,11,Avery 
3765580.00,,Summerfield town,81,Guilford 
3765700.00,,Sunbury CDP,73,Gates 
3765900.00,,Sunset Beach town,19,Brunswick 
3766040.00,,Surf City town,"141, 133","Pender, Onslow "
3766280.00,,Swannanoa CDP,21,Buncombe 
3766340.00,,Swan Quarter CDP,95,Hyde 
3766360.00,,Swansboro town,133,Onslow 
3766460.00,,Swepsonville town,1,Alamance 
3766500.00,,Sylva town,99,Jackson 
3766520.00,,Tabor City town,47,Columbus
3766700.00,,Tarboro town,65,Edgecombe 
3766740.00,,Tar Heel town,17,Bladen 
3766960.00,,Taylorsville town,3,Alexander 
3766980.00,,Taylortown town,125,Moore 
3767000.00,,Teachey town,61,Duplin 
3767420.00,,Thomasville city,57,Davidson 
3767700.00,,Toast CDP,171,Surry 
3767720.00,,Tobaccoville village,67,Forsyth 
3768040.00,,Topsail Beach town,141,Pender 
3768320.00,,Trenton town,103,Jones 
3768340.00,,Trent Woods town,49,Craven 
3768400.00,,Trinity city,151,Randolph 
3768500.00,,Troutman town,97,Iredell 
3768520.00,,Troy town,123,Montgomery 
3768580.00,,Tryon town,149,Polk
3768740.00,,Turkey town,163,Sampson 
3769020.00,,Tyro CDP,57,Davidson 
3769260.00,,Unionville town,179,Union
3769520.00,,Valdese town,23,Burke 
3769600.00,,Valle Crucis CDP,189,Watauga 
3769640.00,,Valley Hill CDP,89,Henderson 
3769680.00,,Vanceboro town,49,Craven 
3769720.00,,Vandemere town,137,Pamlico 
3769740.00,,Vander CDP,51,Cumberland 
3769755.00,,Vann Crossroads CDP,163,Sampson 
3769795.00,,Varnamtown town,19,Brunswick 
3769840.00,,Vass town,125,Moore 
3770320.00,,Waco town,45,Cleveland 
3770340.00,,Wade town,51,Cumberland 
3770380.00,,Wadesboro town,7,Anson 
3770480.00,,Wagram town,165,Scotland 
3770540.00,,Wake Forest town,"69, 77, 183","Franklin, Granville, Wake "
3770580.00,,Wakulla CDP,155,Robeson 
3770660.00,,Walkertown town,67,Forsyth 
3770720.00,,Wallace town,61,Duplin 
3770740.00,,Wallburg town,57,Davidson 
3770780.00,,Walnut Cove town,169,Stokes 
3770820.00,,Walnut Creek village,191,Wayne 
3770860.00,,Walstonburg town,79,Greene 
3770920.00,,Wanchese CDP,55,Dare 
3771100.00,,Warrenton town,185,Warren 
3771160.00,,Warsaw town,61,Duplin 
3771220.00,,Washington city,13,Beaufort 
3771240.00,,Washington Park town,13,Beaufort 
3771320.00,,Watha town,141,Pender 
3771440.00,,Waves CDP,55,Dare 
3771460.00,,Waxhaw town,179,Union 
3771500.00,,Waynesville town,87,Haywood 
3771560.00,,Weaverville town,21,Buncombe 
3771600.00,,Webster town,99,Jackson 
3771680.00,,Weddington town,179,Union 
3771760.00,,Welcome CDP,57,Davidson 
3771780.00,,Weldon town,83,Halifax 
3771860.00,,Wendell town,183,Wake 
3771900.00,,Wentworth town,157,Rockingham 
3771940.00,,Wesley Chapel village,179,Union 
3772150.00,,West Canton CDP,87,Haywood 
3772540.00,,West Jefferson town,9,Ashe 
3772600.00,,West Marion CDP,111,McDowell 
3772755.00,,Westport CDP,109,Lincoln 
3773140.00,,Whispering Pines village,125,Moore 
3773160.00,,Whitakers town,"65, 127","Edgecombe, Nash "
3773300.00,,White Lake town,17,Bladen 
3773320.00,,White Oak CDP,17,Bladen 
3773460.00,,White Plains CDP,171,Surry 
3773660.00,,Whiteville city,47,Columbus 
3773760.00,,Whitsett town,81,Guilford 
3773780.00,,Whittier CDP,"99, 173","Jackson, Swain "
3774020.00,,Wilkesboro town,193,Wilkes 
3774220.00,,Williamston town,117,Martin 
3774440.00,,Wilmington city,129,New Hanover 
3774540.00,,Wilson city,195,Wilson 
3774580.00,,Wilson's Mills town,101,Johnston 
3774680.00,,Windsor town,15,Bertie 
3774720.00,,Winfall town,143,Perquimans 
3774760.00,,Wingate town,179,Union 
3775000.00,,Winston-Salem city,67,Forsyth 
3775060.00,,Winterville town,147,Pitt 
3775080.00,,Winton town,91,Hertford 
3775280.00,,Woodfin town,21,Buncombe 
3775340.00,,Woodland town,131,Northampton 
3775375.00,,Woodlawn CDP,1,Alamance 
3775780.00,,Wrightsboro CDP,129,New Hanover 
3775820.00,,Wrightsville Beach town,129,New Hanover 
3775880.00,,Yadkin College CDP,57,Davidson 
3775960.00,,Yadkinville town,197,Yadkin 
3776000.00,,Yanceyville town,33,Caswell 
3776200.00,,Youngsville town,69,Franklin 
3776220.00,,Zebulon town,183,Wake 
