Place FIPS,"Unincorporated, Non-Place FIPS",Geography Name,County FIPS,County Name
3704680.00,,Bell Arthur CDP,147,Pitt
3704840.00,,Belmont city,71,Gaston
3704950.00,,Belville town,19,Brunswick
3704955.00,,Belvoir CDP,147,Pitt
3704960.00,,Belwood town,45,Cleveland
3705020.00,,Bennett CDP,37,Chatham
3705040.00,,Benson town,101,Johnston
3705049.00,,Bent Creek CDP,21,Buncombe
3705135.00,,Bermuda Run town,59,Davie
3705220.00,,Bessemer City city,71,Gaston
3705340.00,,Bethania town,67,Forsyth
3705460.00,,Bethel town,147,Pitt
3705530.00,,Bethlehem CDP,3,Alexander
3705660.00,,Beulaville town,61,Duplin
3705880.00,,Biltmore Forest town,21,Buncombe
3706000.00,,Biscoe town,123,Montgomery
3706080.00,,Black Creek town,195,Wilson
3706140.00,,Black Mountain town,21,Buncombe
3706240.00,,Bladenboro town,17,Bladen
3706500.00,,Blowing Rock town,"189, 27","Watauga, Caldwell"
3706510.00,,Blue Clay Farms CDP,129,New Hanover
3706660.00,,Boardman town,47,Columbus
3706740.00,,Bogue town,31,Carteret
3706760.00,,Boiling Spring Lakes city,19,Brunswick
3706800.00,,Boiling Springs town,45,Cleveland
3706820.00,,Bolivia town,19,Brunswick
3706860.00,,Bolton town,47,Columbus
3706980.00,,Bonnetsville CDP,163,Sampson
3707080.00,,Boone town,189,Watauga
3707140.00,,Boonville town,197,Yadkin
3707220.00,,Bostic town,161,Rutherford
3707340.00,,Bowdens CDP,61,Duplin
3707400.00,,Bowmore CDP,93,Hoke
3707588.00,,Brandywine Bay CDP,31,Carteret
3707720.00,,Brevard city,175,Transylvania
3707748.00,,Briar Chapel CDP,37,Chatham
3707765.00,,Brices Creek CDP,49,Craven
3707860.00,,Bridgeton town,49,Craven
3708040.00,,Broad Creek CDP,31,Carteret
3708080.00,,Broadway town,105,Lee
3708110.00,,Brogden CDP,191,Wayne
3708140.00,,Brookford town,35,Catawba
3708420.00,,Brunswick town,47,Columbus
3708480.00,,Bryson City town,173,Swain
3708760.00,,Buies Creek CDP,85,Harnett
3708860.00,,Bunn town,69,Franklin
3708880.00,,Bunnlevel CDP,85,Harnett
3708960.00,,Burgaw town,141,Pender
3709060.00,,Burlington city,"1, 81","Alamance, Guilford"
3709140.00,,Burnsville town,199,Yancey
3709360.00,,Butner town,77,Granville
3709380.00,,Butters CDP,17,Bladen
3709400.00,,Buxton CDP,55,Dare
3709530.00,,Cajah's Mountain town,27,Caldwell
3709540.00,,Calabash town,19,Brunswick
3709760.00,,Calypso town,61,Duplin
3709780.00,,Camden CDP,29,Camden
3709800.00,,Cameron town,125,Moore
3710120.00,,Candor town,123,Montgomery
3710240.00,,Canton town,87,Haywood
3710260.00,,Cape Carteret town,31,Carteret
3710264.00,,Cape Colony CDP,41,Chowan
3710460.00,,Caroleen CDP,161,Rutherford
3710500.00,,Carolina Beach town,129,New Hanover
3710532.00,,Carolina Meadows CDP,37,Chatham
3710550.00,,Carolina Shores town,19,Brunswick
3710620.00,,Carrboro town,135,Orange
3710680.00,,Carthage town,125,Moore
3710740.00,,Cary town,"183, 37","Wake, Chatham"
3710760.00,,Casar town,45,Cleveland
3710800.00,,Cashiers CDP,99,Jackson
3710860.00,,Castalia town,127,Nash
3710880.00,,Castle Hayne CDP,129,New Hanover
3710960.00,,Caswell Beach town,19,Brunswick
3710980.00,,Catawba town,35,Catawba
3711340.00,,Cedar Point town,31,Carteret
3711352.00,,Cedar Rock village,27,Caldwell
3711560.00,,Centerville CDP,69,Franklin
3711620.00,,Cerro Gordo town,47,Columbus
